,drug_name,generic_code,global_name,drug_type,how_to_use,license_owner,license_expire,price,unit_price,GTIN,IRC,count_per_package,package_image,drug_image,usage,effect_process,farmakokintik,warnings,side_effects,Interference,advices,drug_url
59,PROPAFENONE,22867,PROPAFENONE HYDROCHLORIDE TABLET ORAL 150 mg,TABLET,ORAL,Hexal,1400/07/04,"[{'insurance': 'tamin', 'MinPrice': 40000, 'MaxPrice': 57000}, {'insurance': 'salamat', 'MinPrice': 22000, 'MaxPrice': 22000}, {'insurance': 'niro_mosalah', 'MinPrice': 3300, 'MaxPrice': 3300}]",7000,04030855302567,2270409094688092,50 TABLET in 5 BLISTER PACK in 1 BOX,https://irc.fda.gov.ir//AttachmentApi/LoadAttachment?id=733de675-a4ad-4822-9f26-71f2832c6b80,https://irc.fda.gov.ir//AttachmentApi/LoadAttachment?id=733de675-a4ad-4822-9f26-71f2832c6b80,,,,,,,,https://irc.fda.gov.ir/NFI/Detail/1169
60,ZOLDEM,13238,ZOLPIDEM TABLET ORAL 10 mg,TABLET,ORAL,Hexal,1397/07/05,"[{'insurance': 'tamin', 'MinPrice': 350000, 'MaxPrice': 628000}, {'insurance': 'salamat', 'MinPrice': 40000, 'MaxPrice': 40000}, {'insurance': 'niro_mosalah', 'MinPrice': 4300, 'MaxPrice': 4300}]",5500,04030855409174,9771828485798928,20 TABLET in 2 BLISTER PACK in 1 BOX,https://irc.fda.gov.ir//AttachmentApi/LoadAttachment?id=ef5dcd73-6294-4e7f-aefb-7cd07c3c1127,https://irc.fda.gov.ir//AttachmentApi/LoadAttachment?id=ef5dcd73-6294-4e7f-aefb-7cd07c3c1127,,,,,,,,https://irc.fda.gov.ir/NFI/Detail/1212
61,METOHEXAL SUCC,12544,"METOPROLOL SUCCINATE TABLET, EXTENDED RELEASE ORAL 95 mg","TABLET, EXTENDED RELEASE",ORAL,Hexal,1400/07/04,"[{'insurance': 'tamin', 'MinPrice': 122000, 'MaxPrice': 122000}, {'insurance': 'salamat', 'MinPrice': 40, 'MaxPrice': 40}, {'insurance': 'niro_mosalah', 'MinPrice': 97000, 'MaxPrice': 97000}]",5800,04030855437443,7554778146024068,"100 TABLET, EXTENDED RELEASE in 1 BOTTLE in 1 BOX",https://irc.fda.gov.ir//content/Images/packageimage-notavailable.png,https://irc.fda.gov.ir//content/Images/packageimage-notavailable.png,متوپرولول در درمان آنژين صدري مزمن، كنترل پرفشاری خون و پيشگيري از انفاركتوس مجدد ميوكارد مصرف می¬شود.,,,"1- در صورت وجود سابقه آلرژي، آسم نایژه¬اي، آمفيزم يا برونشيت غيرآلرژیک، نارسايي احتقاني قلب، ديابت، پركاري تيروئيد، افسردگي رواني يا سابقه ابتلا به آن با احتياط فراوان مصرف شود.
2- دربيماران مبتلا به نارسایی کلیه، مقادير مصرف متوپرولول بايد كاهش يابد.
3- درصورت بروز افسردگي ناشي از اين دارو، مصرف آن بايد قطع شود.
4- اگر بعد از يك دوره درمان طولاني با اين دارو، قطع مصرف آن ضرورت پيداكند، بايد به ¬تدریج و حداقل طي سه روز تا دو هفته مصرف دارو قطع شود. اگرپس از قطع مصرف دارو، علائم قطع مصرف بروز كرد، بايد مصرف دارو را به ¬طور موقت مجدداً شروع نمود.
5- در طول مصرف اين دارو، پيگيري عملكرد قلب، اندازه¬گیری نبض، اندازه¬گيري فشار خون و ثبت نوار قلبي و اندازه¬گيري ضربان قلب ضروري است.","1- در صورت وجود سابقه آلرژي، آسم نایژه¬اي، آمفيزم يا برونشيت غيرآلرژیک، نارسايي احتقاني قلب، ديابت، پركاري تيروئيد، افسردگي رواني يا سابقه ابتلا به آن با احتياط فراوان مصرف شود.
2- دربيماران مبتلا به نارسایی کلیه، مقادير مصرف متوپرولول بايد كاهش يابد.
3- درصورت بروز افسردگي ناشي از اين دارو، مصرف آن بايد قطع شود.
4- اگر بعد از يك دوره درمان طولاني با اين دارو، قطع مصرف آن ضرورت پيداكند، بايد به ¬تدریج و حداقل طي سه روز تا دو هفته مصرف دارو قطع شود. اگرپس از قطع مصرف دارو، علائم قطع مصرف بروز كرد، بايد مصرف دارو را به ¬طور موقت مجدداً شروع نمود.
5- در طول مصرف اين دارو، پيگيري عملكرد قلب، اندازه¬گیری نبض، اندازه¬گيري فشار خون و ثبت نوار قلبي و اندازه¬گيري ضربان قلب ضروري است.",مقدار مصرف انسولين و دارو‌هاي خوراكي پایين‎آورنده قندخون، هنگام مصرف همزمان با اين دارو بايد تنظيم گردد. درصورت مصرف همزمان داروهاي مسدد گيرنده بتا-آدرنرژيك با دارو‌هاي مسدد كانال¬هاي كلسيمي يا كلونيدين، اثرات كاهش فشار خون ممكن است تشديد شود. درصورت مصرف همزمان اين دارو با آمين¬هاي مقلد سمپاتيك كه داراي فعاليت بتا-آدرنرژيك هستند، ممكن است اثرات هر دو دسته دارو كاهش يابد. گزانتين¬ها درصورت مصرف همزمان با اين دارو، ممكن است موجب مهار اثرات درماني هر دو دسته دارو شود. همچنين، كليرانس تئوفيلين ممکن است افزايش ‎يابد.,"1- اين دارو، پرفشاری خون را درمان نمی¬کند، بلكه آن را كنترل مي¬نمايد. لذا مصرف آن ممكن است تا مدت طولانی ضروری باشد.
2- دربيماران مبتلا به ديابت، با مصرف اين دارو علائم افت قندخون ممكن است پوشانده شده.
3- به علت احتمال بروز سرگيجه، خواب¬آلودگي و منگي، هنگام رانندگي يا كار با وسايلي كه نياز به هوشياري دارند، بايد احتياط نمود.",https://irc.fda.gov.ir/NFI/Detail/1307
62,TREXOMA,11872,"METHOTREXATE INJECTION, SOLUTION PARENTERAL 25 mg/1mL 0.8MILLILITER","INJECTION, SOLUTION",PARENTERAL,نانو فناوران داروئی الوند,1399/04/24,"[{'insurance': 'tamin', 'MinPrice': 1000, 'MaxPrice': 1450}, {'insurance': 'salamat', 'MinPrice': 57600, 'MaxPrice': 57600}, {'insurance': 'niro_mosalah', 'MinPrice': 5500, 'MaxPrice': 5500}]",825000,06262887500606,4887427232936414,1 PHYSIOJECT in 1 BOX,https://irc.fda.gov.ir//content/Images/packageimage-notavailable.png,https://irc.fda.gov.ir//content/Images/packageimage-notavailable.png,,,,,,,,https://irc.fda.gov.ir/NFI/Detail/26868
63,ARTIBET,11871,BISOPROLOL FUMARATE TABLET ORAL 2.5 mg,TABLET,ORAL,داروسازی مداوا,1403/11/25,"[{'insurance': 'tamin', 'MinPrice': 120, 'MaxPrice': 120}, {'insurance': 'salamat', 'MinPrice': None, 'MaxPrice': None}, {'insurance': 'niro_mosalah', 'MinPrice': 6000, 'MaxPrice': 6000}]",2600,06260154800237,9391919755092677,30 TABLET in 3 BLISTER PACK in 1 BOX,https://irc.fda.gov.ir//content/Images/packageimage-notavailable.png,https://irc.fda.gov.ir//content/Images/packageimage-notavailable.png,,,,,,,,https://irc.fda.gov.ir/NFI/Detail/30792
64,BUPRENORPHINE,52098,BUPRENORPHINE (AS HYDROCHLORIDE) TABLET SUBLINGUAL 2 mg,TABLET,SUBLINGUAL,تولیدی فاران شیمی تویسرکان,1402/03/08,"[{'insurance': 'tamin', 'MinPrice': 5500, 'MaxPrice': 5880}, {'insurance': 'salamat', 'MinPrice': 2870, 'MaxPrice': 2870}, {'insurance': 'niro_mosalah', 'MinPrice': 9, 'MaxPrice': 9}]",10400,06265030100050,4779921810796913,30 TABLET in 3 BLISTER PACK in 1 BOX,https://irc.fda.gov.ir//AttachmentApi/LoadAttachment?id=07854229-0b22-46f8-b812-07c1eb814a7c,https://irc.fda.gov.ir//AttachmentApi/LoadAttachment?id=07854229-0b22-46f8-b812-07c1eb814a7c,اين دارو به عنوان ضد درد براي تسكين دردهاي متوسط تا شديد و نيز قبل از عمل جراحي و بصورت ترکیبی با نالوکسان براي درمان وابستگي به اپيوئيد¬ها استفاده مي¬گردد.,,,"1- در موارد افت فشار خون، كم¬كاري تيروئيد، آسم و كاهش ذخيره تنفسي با احتياط فراوان مصرف شود.
2- بر خلاف بيشتر دارو‌هاي اپيوئيدي فقط بخشي از اثرات اين دارو توسط نالوكسون خنثي می¬شود.
3- از مصرف اين دارو هنگام حمله آسمي اجتناب شود.
4- مصرف اين دارو در معتادان به مواد شبه مرفين می¬تواند موجب بروز علائم سندرم قطع مصرف داروي مخدر گردد.","1- در موارد افت فشار خون، كم¬كاري تيروئيد، آسم و كاهش ذخيره تنفسي با احتياط فراوان مصرف شود.
2- بر خلاف بيشتر دارو‌هاي اپيوئيدي فقط بخشي از اثرات اين دارو توسط نالوكسون خنثي می¬شود.
3- از مصرف اين دارو هنگام حمله آسمي اجتناب شود.
4- مصرف اين دارو در معتادان به مواد شبه مرفين می¬تواند موجب بروز علائم سندرم قطع مصرف داروي مخدر گردد.","داروهاي ضدجنون اثرات تسكين¬دهنده و کاهنده فشار خون اين دارو را افزايش مي¬دهند. داروهاي ضداضطراب اثر تسكين¬بخش اين دارو را افزايش مي¬دهند. اين دارو با اثرات گوارشي متوكلوپراميد و سيزاپرايد مقابله می¬کند. مصرف این دارو همزمان با داروهای مضعف CNS ممکن است باعث افزایش ضعف CNS و دپرسیون تنفسی شود.
نكات قابل¬توصيه: قطع تدريجي مصرف دارو ممكن است لازم باشد.",,https://irc.fda.gov.ir/NFI/Detail/7757
65,SUPROTAC,52100,TACROLIMUS CAPSULE ORAL 0.5 mg,CAPSULE,ORAL,نانو فناوران داروئی الوند,1401/10/04,"[{'insurance': 'tamin', 'MinPrice': 6670, 'MaxPrice': 6970}, {'insurance': 'salamat', 'MinPrice': 580000, 'MaxPrice': 580000}, {'insurance': 'niro_mosalah', 'MinPrice': 45400, 'MaxPrice': 45400}]",0,06262887500552,2619295326225248,50 CAPSULE in 5 BLISTER PACK in 1 BOX,https://irc.fda.gov.ir//AttachmentApi/LoadAttachment?id=360b39ea-7a2f-4fc2-8db7-cfbf6c656ee0,https://irc.fda.gov.ir//AttachmentApi/LoadAttachment?id=360b39ea-7a2f-4fc2-8db7-cfbf6c656ee0,,,,,,,,https://irc.fda.gov.ir/NFI/Detail/28294
66,TREXOMA,17672,"METHOTREXATE INJECTION, SOLUTION PARENTERAL 25 mg/1mL 0.4MILLILITER","INJECTION, SOLUTION",PARENTERAL,نانو فناوران داروئی الوند,1399/04/24,"[{'insurance': 'niro_mosalah', 'MinPrice': 8800, 'MaxPrice': 8800}]",580000,06262887500583,8336959668362558,1 PHYSIOJECT in 1 BOX,https://irc.fda.gov.ir//content/Images/packageimage-notavailable.png,https://irc.fda.gov.ir//content/Images/packageimage-notavailable.png,,,,,,,,https://irc.fda.gov.ir/NFI/Detail/26866
67,GEMIFLOXACIN,19412,GEMIFLOXACIN TABLET ORAL 320 mg,TABLET,ORAL,صنعتی کیمیدارو,1399/11/01,"[{'insurance': 'tamin', 'MinPrice': 9300, 'MaxPrice': 17000}, {'insurance': 'salamat', 'MinPrice': 2880, 'MaxPrice': 2880}, {'insurance': 'niro_mosalah', 'MinPrice': 385086, 'MaxPrice': 385086}]",0,06260182900312,4651142935683337,5 TABLET in 1 BLISTER PACK in 1 BOX,https://irc.fda.gov.ir//AttachmentApi/LoadAttachment?id=8fb0bae7-1501-4803-b25f-360b57b91d38,https://irc.fda.gov.ir//AttachmentApi/LoadAttachment?id=8fb0bae7-1501-4803-b25f-360b57b91d38,این دارو در درمان عفونت¬هاي ناشي از باكتري¬هاي گرم منفي (شامل سالمونلا، شيگلا، كمپيلوباكتر، نايسريا و پسودوموناس)، درمان عفونت¬هاي تنفسي‌ (به¬جز عفونت ناشي از استرپتوكوكوس پنومونيه)، عفونت مجاري ادراري، عفونت¬هاي دستگاه گوارش (ازجمله تيفوئيد)، سوزاك و سپتي¬سمي و پیشگیری از مننژیت مننگوکوکی و عفونت جراحی استفاده می¬شود.,,,"1- در بيماران سالخورده، بيماران مبتلا به كمبود G6PD، صرع يا داراي سابقه صرع، نارسایی  كبد يا كليه با احتیاط مصرف شود.
2- این دارو ممكن است موجب بروز تشنج شود.","1- در بيماران سالخورده، بيماران مبتلا به كمبود G6PD، صرع يا داراي سابقه صرع، نارسایی  كبد يا كليه با احتیاط مصرف شود.
2- این دارو ممكن است موجب بروز تشنج شود.",این دارو با دارو‌هاي ضدالتهاب غيراسترویيدي، دارو‌هاي آنتي‎اسيد ومواد جاذب، وارفارین، دارو‌هاي ضدديابت سولفونيل¬اوره، سيكلوسپورين، گلی‎بنکلامید، املاح آهن كاهش مي¬يابد، تئوفيلين، سوکرالفیت، تیزانیدین و متوترکسات تداخل دارد.,"1- بیمار باید دوره درمان باید کامل کند.
2- دارو باید حداقل دوساعت قبل یا سه ساعت بعد از فرآورده های حاوی آهن، روی، آلومینیوم و منیزیم و با مقدار کافی آب مصرف شود.
3- در صورت بروز مشکلات پوستی و راش دارو را قطع کرده و به پزشک خود اطلاع دهید.
4- در دوران مصرف دارو باید از تماس با اشعه شدید آفتاب خودداری شود.",https://irc.fda.gov.ir/NFI/Detail/32061
68,PREGABALIN,11753,PREGABALIN CAPSULE ORAL 75 mg,CAPSULE,ORAL,لابراتوارهای رازک,1404/02/01,"[{'insurance': 'tamin', 'MinPrice': 78000, 'MaxPrice': 112000}, {'insurance': 'salamat', 'MinPrice': 1720, 'MaxPrice': 1720}, {'insurance': 'niro_mosalah', 'MinPrice': 1900, 'MaxPrice': 1900}]",4220,06260154206053,2485494029191695,100 CAPSULE in 10 BLISTER PACK in 1 CARTON,https://irc.fda.gov.ir//AttachmentApi/LoadAttachment?id=3ed968be-591a-4958-811c-476ddc796008,https://irc.fda.gov.ir//AttachmentApi/LoadAttachment?id=3ed968be-591a-4958-811c-476ddc796008,این دارو در کنترل درد نوروپاتیک از جمله درد نوروپاتیک دیابتی و درد عصبی متعاقب عفونت هرپسی، به ¬عنوان داروی کمکی در تشنجات پارشیال (فوکال) و اختلالات ژنرالیزه اضطرابی به كار می‎¬رود.,,,در نارسایی احتقانی قلب، دیابت و نارسایی کلیه با احتیاط فراوان تجویز شود.,در نارسایی احتقانی قلب، دیابت و نارسایی کلیه با احتیاط فراوان تجویز شود.,مصرف همزمان این دارو با دارو¬های ضددیابت از خانواده تیازولیدون‎¬ها مانند پیوگلیتازون ممکن است منجر به افزایش وزن و احتباس مایعات در بدن شده و احتمال بروز نارسایی قلبی را افزایش می‎¬دهد. مصرف همزمان این دارو با دارو¬های مضعف CNS و فراورده¬‎های حاوی الکل احتمال بروز عوارض دستگاه عصبی مرکزی از جمله عوارض شناختی و حرکتی را ممکن است افزایش دهد.,"1- از قطع ناگهانی مصرف این دارو اجتناب شود. 
2-  به ¬دلیل احتمال ایجاد تاری دید، گیجی، خواب¬آلودگی یا اختلال در مهارت¬‎های حرکتی، هنگام رانندگی یا انجام کار¬هایی که نیاز به هوشیاری دارند، باید احتیاط کرد. 
3-  در صورت بروز اختلالات بینایی، زخم¬‎های پوستی، درد بدون دلیل عضلات و ضعف شدید همراه با تب یا خستگی، باید مراتب به اطلاع پزشک رسانده شود. 
4-  این دارو ممکن است باعث خیز و افزایش وزن بدن شود.",https://irc.fda.gov.ir/NFI/Detail/15385
69,FEXOFENADINE,10216,FEXOFENADINE HYDROCHLORIDE TABLET ORAL 120 mg,TABLET,ORAL,کارخانجات دارو پخش,1397/08/21,"[{'insurance': 'tamin', 'MinPrice': 100, 'MaxPrice': 100}, {'insurance': 'salamat', 'MinPrice': 4000, 'MaxPrice': 4000}, {'insurance': 'niro_mosalah', 'MinPrice': 7500, 'MaxPrice': 7500}]",0,06260132426008,4535277040922201,30 TABLET in 3 BLISTER PACK in 1 BOX,https://irc.fda.gov.ir//AttachmentApi/LoadAttachment?id=7dda47db-0b79-425f-8268-a9ea7a2eea92,https://irc.fda.gov.ir//AttachmentApi/LoadAttachment?id=7dda47db-0b79-425f-8268-a9ea7a2eea92,فكسوفنادين براي درمان علائم ناشي از رينيت¬ آلرژیک فصلي و علائم پوستي ناشي از كهير مزمن ایديوپاتيك مصرف مي¬شود.,,,,,مصرف همزمان با آنتي¬اسيدهای حاوي آلومينيوم و يا منيزيم باعث كاهش غلظت پلاسمایي فكسوفنادين مي¬شود. مصرف همزمان با اريترومايسين و يا كتوكونازول باعث افزايش سطح پلاسمایي فكسوفنادين مي شود.,,https://irc.fda.gov.ir/NFI/Detail/4904
70,BROPAIN,52661,IBUPROFEN TABLET ORAL 400 mg,TABLET,ORAL,داروسازی امین,1400/07/25,"[{'insurance': 'tamin', 'MinPrice': 2400, 'MaxPrice': 2640}, {'insurance': 'salamat', 'MinPrice': 1100, 'MaxPrice': 1100}, {'insurance': 'niro_mosalah', 'MinPrice': 250000, 'MaxPrice': 250000}]",4300,06260154970039,4062086116445471,100 TABLET in 10 BLISTER PACK in 1 BOX,https://irc.fda.gov.ir//AttachmentApi/LoadAttachment?id=b57bb257-1245-4270-9f61-8b0c12290c73,https://irc.fda.gov.ir//AttachmentApi/LoadAttachment?id=b57bb257-1245-4270-9f61-8b0c12290c73,ايبوپروفن در تسكين درد و التهاب روماتيسمي، انواع آرتريت (شامل آرتريت جوانان) و ديگر اختلالات عضلاني–اسكلتي، قاعدگي دردناك، درد‌هاي بعد از عمل جراحي، تب مصرف می‌¬گردد.,,,در بيماران مبتلا به نارسایی كبد يا كليه، بيماري¬هاي گوارشي مانند زخم ¬گوارشي، نارسايي قلبي، پرفشاری خون و اختلالات انعقادی با احتياط فراوان مصرف شود.,در بيماران مبتلا به نارسایی كبد يا كليه، بيماري¬هاي گوارشي مانند زخم ¬گوارشي، نارسايي قلبي، پرفشاری خون و اختلالات انعقادی با احتياط فراوان مصرف شود.,در مصرف همزمان با آنتی¬اسيدها احتمال كاهش جذب دارو وجود دارد. مصرف ايبوپروفن به -همراه مهاركننده¬‎‌هاي آنزيم مبدل آنژيوتانسين (ACE)، سبب معكوس نمودن اثر ضدفشار خون آن¬ها گرديده و نيز خطر نارسايي كليه  و افزايش پتاسيم خون احتمالاً افزايش مي¬‎يابد. اثرات كاهنده فشار خون مدرها در صورت مصرف همزمان با اين دارو ممكن است كاهش يابد. اثر انسولين و دارو‌هاي پايين¬آورنده قندخون سولفونيل¬اوره، احتمالاً‌ به¬ وسيله اين دارو افزايش مي‎¬يابد. مصرف همزمان با سيكلوسپورين خطر سميت كليوي را افزايش مي‌¬دهد. دفع ليتيم و احتمالاً متوتركسات توسط ايبوپروفن كاهش يافته و سميت آن¬ها افزايش مي‎¬يابد. مهار تجمع پلاكت توسط اين دارو در زخم و خونريزي گوارشي در بيماران تحت درمان با دارو‌هاي ضدانعقاد يا ترومبوليتيك، ممكن است خطرناك باشد. مصرف همزمان اين دارو با آسپيرين توصيه نمی-‌شود. مصرف همزمان اسيد والپروئيك با اين دارو خطر بروز خونريزي را به ¬دليل تداخل در عملكرد پلاكت¬‎‌ها افزايش مي¬‌دهد.,"1- احتمال بروز تنبلي چشم (آمبليوپاتی) وجود دارد.
2-  در صورت مصرف اين دارو در درمان آرتريت، دوره درمان با اين دارو بايد كامل شود. جهت دستيابي به پاسخ مطلوب، ممكن است حداقل 2 هفته زمان نياز باشد.
3-  در صورت مشاهده علائم شبه آنفولانزا (لرز، تب يا درد عضلاني) قبل يا همزمان با بثورات جلدي، بايد به پزشك مراجعه شود.
4-  هر گونه خونريزي غيرعادي مانند استفراغ خوني، خون در ادرار و خون در مدفوع باید گزارش شود.
5-  در تجویز داخل وریدی، رساندن مایعات لازم به فرد قبل از شروع درمان الزامی است.",https://irc.fda.gov.ir/NFI/Detail/3438
71,AMIXETINE,17672,ATOMOXETINE HYDROCHLORIDE CAPSULE ORAL 60 mg,CAPSULE,ORAL,داروسازی امین,1397/04/03,"[{'insurance': 'niro_mosalah', 'MinPrice': 45400, 'MaxPrice': 45400}]",0,06260154902108,3414467321073635,30 CAPSULE in 3 BLISTER PACK in 1 BOX,https://irc.fda.gov.ir//AttachmentApi/LoadAttachment?id=1cd35b58-3332-47ab-8e1c-8f33da405db0,https://irc.fda.gov.ir//AttachmentApi/LoadAttachment?id=1cd35b58-3332-47ab-8e1c-8f33da405db0,,,,,,,,https://irc.fda.gov.ir/NFI/Detail/22760
72,POTASSIUM CHLORIDE IN DEXTROSE,22429,POTASSIUM CHLORIDE INJECTION INTRAVENOUS 0.15 % 1000MILLILITER,INJECTION,INTRAVENOUS,فرآورده های تزریقی و دارویی ایران,1401/09/11,"[{'insurance': 'niro_mosalah', 'MinPrice': 140000, 'MaxPrice': 140000}]",115000,06260154100610,5371539651068887,1000 MILLILITER in 1 BOTTLE,https://irc.fda.gov.ir//AttachmentApi/LoadAttachment?id=ada0f39e-e866-4d0d-a501-a9b60777d1a1,https://irc.fda.gov.ir//AttachmentApi/LoadAttachment?id=ada0f39e-e866-4d0d-a501-a9b60777d1a1,,,,,,,,https://irc.fda.gov.ir/NFI/Detail/28904
73,RENALIVE,50494,SEVELAMER HYDROCHLORIDE TABLET ORAL 800 mg,TABLET,ORAL,دارو سازی سها,1400/11/28,"[{'insurance': 'tamin', 'MinPrice': 188400, 'MaxPrice': 225000}, {'insurance': 'niro_mosalah', 'MinPrice': 720000, 'MaxPrice': 720000}]",27300,06260154300485,1216777416046636,90  in 1 CONTAINER,https://irc.fda.gov.ir//AttachmentApi/LoadAttachment?id=0cee2216-53dc-48d4-8eb7-e23f995af8db,https://irc.fda.gov.ir//AttachmentApi/LoadAttachment?id=0cee2216-53dc-48d4-8eb7-e23f995af8db,این دارو در درمان زیادی فسفات خون در بیماران تحت درمان با دیالیز به ¬‏کار می¬‏رود.,,,در کودکان، اشکال در بلع یا مشکلات گوارشی، یبوست شدید و جراحی اخیر دستگاه گوارش با احتیاط فراوان تجویز شود.,در کودکان، اشکال در بلع یا مشکلات گوارشی، یبوست شدید و جراحی اخیر دستگاه گوارش با احتیاط فراوان تجویز شود.,تجویز این دارو همزمان با سیپروفلوکساسین و سایر کینولون¬‏ها، سیکلوسپورین و تاکرولیموس موجب کاهش فراهمی¬زیستی خوراکی آنها می‏¬شود. مصرف همزمان این دارو به همراه لووتیروکسین موجب کاهش جذب لووتیروکسین می¬شود.,"1- دارو باید همراه غذا مصرف شود.
2- در صورت بروز یبوست یا تشدید آن به پزشک اطلاع داده شود.
3- طی مدت مصرف این دارو باید غلظت سرمی فسفات، کلسیم، بی¬کربنات و کلراید به دقت کنترل شوند.",https://irc.fda.gov.ir/NFI/Detail/25092
74,BETAMETHASONE,50610,BETAMETHASONE (AS VALERATE) OINTMENT TOPICAL 0.1 % 15GRAM,OINTMENT,TOPICAL,پارس دارو,1400/03/01,"[{'insurance': 'tamin', 'MinPrice': 13670, 'MaxPrice': 0}, {'insurance': 'niro_mosalah', 'MinPrice': 97400, 'MaxPrice': 97400}]",57000,06260113710317,4091642965267902,1 TUBE in 1 BOX,https://irc.fda.gov.ir//AttachmentApi/LoadAttachment?id=2f6be08a-ed15-4716-a71a-6bdd50d76f7a,https://irc.fda.gov.ir//AttachmentApi/LoadAttachment?id=2f6be08a-ed15-4716-a71a-6bdd50d76f7a,بتامتازون در درمان كوتاه¬ مدت حالت¬‌هاي التهابي و آلرژیک چشم و گوش و حالت¬‌هاي التهابي غيرعفوني بيني كه به كورتيكواستروئيد‌ها پاسخ مي¬دهند، به ¬كار می¬‌رود.,,,"1- در مبتلایان به آب مرواريد، گلوكوم مزمن با زاويه باز يا سابقه آن، التهاب گوش مياني و ساير عفونت¬‎‌هاي قرنيه و ملتحمه چشم يا گوش هستند با احتياط فراوان مصرف شود.
2- احتمال جذب سيستميك دارو متعاقب تجويز داخل بيني مقادير زياد يا طولاني مدت دارو وجود دارد.","1- در مبتلایان به آب مرواريد، گلوكوم مزمن با زاويه باز يا سابقه آن، التهاب گوش مياني و ساير عفونت¬‎‌هاي قرنيه و ملتحمه چشم يا گوش هستند با احتياط فراوان مصرف شود.
2- احتمال جذب سيستميك دارو متعاقب تجويز داخل بيني مقادير زياد يا طولاني مدت دارو وجود دارد.",,"1- اگر پس از 7-5 روز بهبودي حاصل نشد باید به پزشك مراجعه شود.
2- برای استعمال دارو در گوش مي¬توان آن را به طور مستقيم در گوش ريخت و يا گاز آغشته به دارو و يا فتيله‎ پنبه¬اي آغشته به دارو را در سوراخ گوش گذاشت. اين فتيله را هر 24-12 ساعت یک¬ بار، بايد تعويض نمود.",https://irc.fda.gov.ir/NFI/Detail/3736
75,TOPIRAMATE SOHA,17106,TOPIRAMATE TABLET ORAL 100 mg,TABLET,ORAL,دارو سازی سها,1392/11/29,"[{'insurance': 'tamin', 'MinPrice': 98000, 'MaxPrice': 110000}, {'insurance': 'salamat', 'MinPrice': 1580, 'MaxPrice': 1580}, {'insurance': 'niro_mosalah', 'MinPrice': 140000, 'MaxPrice': 140000}]",3800,06260154312389,7316051458361368,100 TABLET in 10 BLISTER PACK in 1 BOX,https://irc.fda.gov.ir//AttachmentApi/LoadAttachment?id=e984c19a-fe74-4831-8dd1-e50bf39cbc61,https://irc.fda.gov.ir//AttachmentApi/LoadAttachment?id=e984c19a-fe74-4831-8dd1-e50bf39cbc61,از اين دارو به ¬عنوان داروي كمكي در درمان حملات تشنجي پارشیال (فوکال) وحملات تشنجي تونيك–كلونيك عمومي اوليه در بزرگسالان و كودكان با سن بیش از 2سال و همچنين درمان حملات تشنجي سندرم  Lennox–Gastautو پيشگيری از ميگرن استفاده می¬‌شود.,,,"در نارسايي كليه و افراد تحت همودياليز با احتياط فراوان و با كاهش مقدار مصرف، به¬كار رود.
2-  قبل از شروع درمان و در طول مصرف اين دارو بايد به¬ طور منظم فشار داخلي كره چشم به منظور تشخيص گلوكوم اندازه‎گيري شود.","در نارسايي كليه و افراد تحت همودياليز با احتياط فراوان و با كاهش مقدار مصرف، به¬كار رود.
2-  قبل از شروع درمان و در طول مصرف اين دارو بايد به¬ طور منظم فشار داخلي كره چشم به منظور تشخيص گلوكوم اندازه‎گيري شود.",كاربامازپين، فني¬‎توئين و والپروات غلظت پلاسمايي توپيرامات را كاهش مي‌دهند. دارو‌¬هاي مهاركننده انيدرازكربنيك مانند استازولاميد ممكن است احتمال بروز سنگ‌¬هاي كليوي ناشي از مصرف توپيرامات را افزايش دهند. اثربخشي ضدبارداري¬های خوراكي حاوي استروژن با مصرف همزمان با اين دارو ممكن است كاهش يابد.,"1-  از قطع ناگهاني مصرف دارو بايد پرهيز شود.
2-  به ¬دليل مزه تلخ اين دارو بايد از شكستن و خرد نمودن قرص¬‌هاي آن خودداري شود.
3-  به ¬دليل عوارض جانبي اين دارو، ‌هنگام رانندگي يا كار با ماشين ¬‎آلاتي كه نياز به هوشياري دارند، ‌بايد احتياط شود.
4-  در صورت استفاده از قرص¬‌هاي ضدبارداري خوراكي حاوي استروژن، در طول مدت مصرف توپيرامات بايد از يك روش ديگر جلوگيري از بارداري به ¬طور همزمان و يا به ¬عنوان جايگزين استفاده شود.
5-  بيمار در طول مدت مصرف اين دارو بايد آب و مايعات فراوان مصرف كند.",https://irc.fda.gov.ir/NFI/Detail/10283
